,noun,try_player_a,try_player_b,diff,diff_cum
infam,0,4,5,-1,-1
notiz,1,2,4,-2,-3
zille,1,4,6,-2,-5
stoer,1,2,4,-2,-7
wiege,1,5,4,1,-6
seife,1,4,5,-1,-7
wanne,1,4,2,2,-5
trick,1,4,3,1,-4
suite,1,4,5,-1,-5
macho,1,4,5,-1,-6
nackt,0,4,4,0,-6
acker,1,2,3,-1,-7
kranz,1,6,6,0,-7
einer,0,2,5,-3,-10
otter,1,3,4,-1,-11
stirn,1,3,4,-1,-12
waise,1,4,4,0,-12
typen,1,6,6,0,-12
wunde,1,2,4,-2,-14
taufe,1,4,3,1,-13
wulst,1,3,5,-2,-15
fluor,1,4,4,0,-15
pumpe,1,6,3,3,-12
mumie,1,4,4,0,-12
leute,1,4,4,0,-12
assel,1,3,3,0,-12
elite,1,3,4,-1,-13
video,1,3,5,-2,-15
abtei,1,4,5,-1,-16
pfund,1,4,2,2,-14
gummi,1,3,4,-1,-15
bohne,1,5,4,1,-14
titel,1,4,2,2,-12
prosa,1,3,7,-4,-16
vorab,0,4,3,1,-15
trieb,1,3,2,1,-14
speer,1,4,4,0,-14
eleve,1,4,5,-1,-15
stube,1,5,3,2,-13
zutun,1,4,5,-1,-14
kasse,1,5,3,2,-12
groll,1,4,4,0,-12
birne,1,4,3,1,-11
lunte,1,3,4,-1,-12
meile,1,4,5,-1,-13
orgel,1,3,5,-2,-15
hacke,1,6,7,-1,-16
skala ,1,4,3,1,-15
gramm,1,4,4,0,-15
delle,1,5,5,0,-15
stich,1,3,5,-2,-17
euter,1,2,3,-1,-18
grube,1,2,5,-3,-21
uralt,1,3,3,0,-21
prunk,1,4,3,1,-20
total,0,2,4,-2,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
,,,,0,-22
